ans_id,code,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,V090,V091,V092,V093,V094,V095,V002,V003,V004_1,V004_2,V088,V005,V006,V007,V066,V067,V067_o,V008,V012,V010,V010_o,V045,V013_1,V013_2,V013_3,V013_4,V014,V015,V015_o,V016,V017,V018,V019,V019_1,V086_1,V086_2,V086_3,V086_4,V086_5,V086_6,V071,V022,V023_1,V023_2,V023_3,V076,V076_o,V077,V024_1,V024_2,V083,V083_o,V025_1,V025_2,V025_3,V025_4,V025_5,V082,V082_o,V087_1,V087_2,V087_3,V087_4,V087_5,V027_1,V027_2,V027_3,V027_4,V027_5,V028,V085_1,V085_2,V085_3,V085_4,Fout,Fout,Fout,Fout,Fout,Fout,Fout,V038,V039,V041,V048_1,V048_2,V048_3,V048_4,V049,V081,V081_o,V050,V051_1,V051_2,V052_1,V052_2,V052_3,V052_4,V052_5,V053_1,V053_2,V053_3,V053_4,V053_5,V054,V084_1,V084_2,V084_3,V084_4,V064a_1,V064a_2,V064a_3,V064a_4,V064a_5,V064a_6,V064a_7,V064b,V064c,V065,V097,V069,V089,V089_o,V020,V073,V074,V075,V078,V078_o,V079,V079_o,V096a,V096b,V096c,V096d,V096e,V096f,starttime,externalid,verzending,language,referer,completed,survey_panelId,survey_respondentId,survey_lastQuestion
40,hwyxfzsxnDSTxCBVC8K2hXvkqm,,,,,,,,,,,99999,99999,99999,99999,99999,99999,2,25,2,1,2011,10,5,1,2,5,,1,1,2,0,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,1,4,4,4,2,8,23,0,2,2,2,3,4,5,2,5,5,3,4,1,4,1,4,4,3,4,3,3,2,1,0,1,0,7,Ian Harding Ryan Gosling Kit Harington,1,60,1,1,,99999,99999,99999,99999,99999,,99999,,1,3,2,4,1,2,11-11-2014 15:06,,0,0,https://www.facebook.com/,1,0,0,V9999
43,NvkPRZRsNbbuu9eBpFMQWh7UQc,,,,,,,,,,,99999,99999,99999,99999,99999,99999,2,21,2,1,3524,3,4,1,1,1,,1,1,0,0,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,1,5,2,4,2,9,10,0,3,2,2,5,3,3,3,5,2,2,5,2,3,2,5,3,5,1,4,3,3,0,0,0,0,2,?,2,0,3,10,nooit,99999,99999,99999,99999,99999,,99999,,1,2,2,3,3,2,11-11-2014 15:29,,0,0,https://www.facebook.com/,1,0,0,V9999
45,5t3RbHBsPkk9WGg5SPBSqPNHAg,,,,,,,,,,,99999,99999,99999,99999,99999,99999,1,26,2,1,5025,1,5,1,1,5,,1,1,99999,1,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,2,3,2,2,3,7,99999,1,1,2,2,3,4,5,5,5,4,4,4,3,3,1,4,2,4,1,2,1,1,2,2,1,1,8,Ik denk qua uiterlijk moet zij er ongeveer uitziet als Jennifer Lawrence en Doutzen Kroes. Maar qua karakter vind ik dat zij iets moet hebben van Doutzen Kroes. Zij gedraagt zich ondanks haar vele succes heel normaal.  ,3,99999,99999,99999,,99999,99999,99999,99999,99999,,99999,,5,2,1,2,5,3,11-11-2014 15:35,,0,0,https://www.facebook.com/,1,0,0,V9999
47,DuezGPQHRDWMVj6jkg8PSMZhRP,,,,,,,,,,,99999,99999,99999,99999,99999,99999,2,21,2,2,1506,10,4,1,1,2,,1,1,2,0,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,1,3,2,4,4,7,5,0,2,2,2,3,4,3,2,4,4,3,2,2,2,2,4,4,2,2,3,2,3,1,0,1,0,6,harry styles ,3,7,1,1,,99999,99999,99999,99999,99999,,99999,,1,6,3,4,5,1,11-11-2014 15:50,,0,0,https://www.facebook.com/,1,0,0,V9999
48,ZcR7JHD4EUKAcsGys6NZGSmCjH,,,,,,,,,,,1,2,1,4,1,3,1,22,1,1,1531,10,5,1,2,5,,1,5,2,0,3,3,3,3,4,5,4,,2,5,1,2,99999,5,4,5,5,1,5,5,8,4,5,4,3,,2,2,2,2,,2,4,3,4,4,3,0,5,5,5,3,2,3,1,2,4,1,2,3,3,3,3,2,2,2,3,1,0,0,3,Geen idee,2,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,60,2,8,,1,1,2,2,99999,,99999,,99999,99999,99999,99999,99999,99999,11-11-2014 16:03,,0,0,https://m.facebook.com,1,0,0,V9999
49,Z4P9swxrCDubY3cVbpZwAp2xQU,,,,,,,,,,,1,2,2,4,1,1,2,20,2,2,1021,10,5,1,1,4,,1,5,2,0,3,1,1,3,1,4,4,,1,5,3,2,99999,5,5,5,5,1,5,3,8,5,5,5,3,,2,2,2,2,,1,5,5,1,5,5,0,5,5,5,1,1,2,2,2,2,3,1,3,1,1,1,3,0,3,3,0,0,1,3,.,2,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,40,1,1,,1,1,2,2,99999,,99999,,99999,99999,99999,99999,99999,99999,11-11-2014 16:31,,0,0,https://m.facebook.com/,1,0,0,V9999
51,B6CKxdQ4ChNzSVrYUUdZbwcmj8,,,,,,,,,,,99999,99999,99999,99999,99999,99999,2,21,1,1,1902,10,5,1,1,5,,1,1,99999,1,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,1,2,2,4,2,7,1,0,2,2,2,1,3,3,1,3,5,4,4,2,4,2,2,4,3,2,2,2,3,1,2,0,0,6,Chad Michael Murray en Jason Mraz,1,99999,99999,99999,,99999,99999,99999,99999,99999,,99999,,1,6,2,4,5,1,11-11-2014 17:01,,0,0,/direct/romeo&julia,1,0,0,V9999
52,zb5R7fYf7rjPJ6ktasBBPv58Bc,,,,,,,,,,,4,3,2,1,2,2,2,21,2,1,6542,3,5,1,2,1,,1,5,4,0,3,4,5,4,3,6,7,carnaval,5,4,3,2,99999,5,3,5,2,3,4,1,9,3,4,5,2,,2,2,2,2,,3,5,3,4,4,14,0,5,5,5,4,3,1,1,4,1,1,1,5,3,3,3,1,3,3,2,1,0,0,6,Shemar moore ,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,43,2,6,,1,2,2,2,99999,,99999,,99999,99999,99999,99999,99999,99999,11-11-2014 17:12,,0,0,/direct/romeo&julia,1,0,0,V9999
53,NMxFJzXSzSFG7AghHn8Nrz99Jm,,,,,,,,,,,99999,99999,99999,99999,99999,99999,2,23,2,2,1102,10,5,1,1,5,,1,1,2,0,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,1,4,2,4,3,7,24,0,1,2,2,2,4,4,3,5,4,3,2,2,2,1,5,4,1,1,2,2,2,1,1,0,2,2,Geen idee,1,24,1,1,,99999,99999,99999,99999,99999,,99999,,5,3,2,4,2,3,11-11-2014 17:44,,0,0,https://m.facebook.com/,1,0,0,V9999
54,3uuRnjrKJUdmSaYs8kwU2xSg6F,,,,,,,,,,,1,3,2,2,2,1,1,21,2,2,6717,3,3,1,1,5,,1,5,1,0,3,3,3,3,3,2,1,,5,3,1,2,99999,5,4,4,4,4,4,3,5,3,3,3,3,,1,2,2,2,,1,1,1,1,1,2,0,5,5,5,5,5,4,2,3,4,2,2,4,2,2,3,2,3,2,3,0,0,0,3,geen idee,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,18,1,1,,2,1,2,2,2,,1,,99999,99999,99999,99999,99999,99999,11-11-2014 18:17,,0,0,/direct/romeo&julia,1,0,0,V9999
55,xCT7gbDCPpQMM4aHFVkz268Kbm,,,,,,,,,,,3,3,1,2,1,1,1,24,1,1,7681,4,3,1,1,6,"Hervormd, ben echter nooit naar de kerk geweest, voornamelijk opgevoed met normen en waarden",1,5,3,0,3,5,5,3,5,7,5,,2,3,4,2,99999,5,3,2,3,2,2,2,7,3,3,4,3,,2,2,2,2,,2,2,4,1,3,4,0,4,4,4,3,3,1,1,2,2,1,2,3,3,2,3,1,2,2,3,1,1,0,1,Deze vraag kan ik niet serieus nemen,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,48,2,10,na een half jaar werd het gevoel minder,4,1,2,2,99999,,99999,,99999,99999,99999,99999,99999,99999,11-11-2014 18:17,,0,0,/direct/romeo&julia,1,0,0,V9999
56,qQ2W5dH3kau4G5pWQjXEMYK2cy,,,,,,,,,,,99999,99999,99999,99999,99999,99999,1,15,1,1,7681,4,1,1,2,5,,1,1,2,0,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,2,2,2,3,3,8,99999,1,3,2,2,1,4,1,5,1,4,3,1,3,2,2,4,2,2,4,0,0,4,3,0,2,1,3,I dont know,1,24,1,7,,99999,99999,99999,99999,99999,,99999,,1,3,1,2,1,1,11-11-2014 18:17,,0,0,/direct/romeo&julia,1,0,0,V9999
57,RbrFTx5dpntUKRZAKAM9Cmjrc8,,,,,,,,,,,99999,99999,99999,99999,99999,99999,2,18,2,2,6903,3,3,1,1,5,,1,2,3,0,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,99999,99999,99999,,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,1,4,3,2,4,7,5,0,4,2,2,2,3,5,3,5,1,3,4,3,4,2,3,3,4,4,2,1,2,2,2,1,0,6,Geen idee.,1,22,1,1,,99999,99999,99999,99999,99999,,99999,,4,3,6,4,3,1,11-11-2014 18:58,,0,0,/direct/romeo&julia,1,0,0,V9999
58,mXpEKJPqha74T6DvaeXJ6UPfCQ,,,,,,,,,,,5,3,2,3,5,3,2,30,2,2,5233,11,5,1,1,5,,1,6,2,0,1,2,3,3,1,7,5,,1,3,2,1,2,5,3,5,4,1,5,3,9,5,4,5,4,,1,2,2,2,,1,5,5,4,3,1,0,5,5,5,2,1,2,3,1,2,1,2,5,3,3,3,2,1,1,2,2,1,1,2,Dennis Princewell Stehr (mr. probz),2,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,160,1,8,,99999,99999,99999,99999,4,tmf Chat,2,,99999,99999,99999,99999,99999,99999,11-11-2014 19:00,,0,0,https://www.facebook.com/l.php?u=https%3A%2F%2Fdynamic-concepts.socratos.net%2Fdirect%2Fromeo%26julia&h=yAQEgC3os,1,0,0,V9999
59,z2suJ5sa94QDtCNVeznDyyEWGn,,,,,,,,,,,4,3,3,2,3,4,2,28,1,2,2993,11,5,1,1,1,,1,8,1,0,1,5,5,4,3,7,3,,1,3,1,2,99999,5,3,3,3,5,3,2,3,1,2,4,5,Uitgaansleven,2,1,2,1,,3,3,4,1,5,6,0,2,2,3,5,4,3,2,1,1,4,1,4,5,4,3,4,0,4,0,1,1,0,1,Pharrel williams Is een man die ik als  ideaal zie qua innerlijk. Het uiterlijk is voor mij bijzaak maar niet algeheel onbelangrijk   ,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,300,3,9,,1,1,1,1,99999,,99999,,99999,99999,99999,99999,99999,99999,11-11-2014 19:01,,0,0,https://m.facebook.com,1,0,0,V9999
60,dbM89GvtDbbRDbHDSXDuep79hV,,,,,,,,,,,4,3,6,4,5,1,2,28,2,1,1234,11,3,2,1,5,,1,6,2,0,1,3,3,3,4,7,5,,1,5,2,2,99999,5,4,5,4,3,4,3,8,4,3,5,2,,2,2,2,2,,3,4,4,4,4,5,0,4,4,4,4,2,3,2,2,2,4,1,5,2,2,4,2,2,2,1,1,2,0,6,Nvt,2,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,96,2,8,,1,1,2,2,99999,,99999,,99999,99999,99999,99999,99999,99999,11-11-2014 20:16,,0,0,https://m.facebook.com,1,0,0,V9999
61,phWeg4eeCMVgTsX67BcJ9hKAKv,,,,,,,,,,,4,3,2,4,4,3,2,21,2,2,1096,10,5,1,2,5,,1,5,1,0,3,5,3,4,4,7,5,,1,4,1,2,99999,5,3,5,3,5,4,3,7,4,5,3,3,,2,1,2,4,,2,4,3,5,4,3,0,3,1,2,5,3,2,2,3,2,3,1,5,4,4,3,2,2,1,2,1,2,0,6,Joseph Gordon Levitt Julian Morris Christian Bale ...,2,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,54,3,9,,2,1,2,2,99999,,99999,,99999,99999,99999,99999,99999,99999,11-11-2014 20:18,,0,0,https://www.facebook.com/,1,0,0,V9999
62,8dD8Ee5XRVGVGDwH9RTtYy9vKt,,,,,,,,,,,1,3,2,2,1,1,2,24,1,2,2061,10,3,1,2,1,,1,5,4,0,3,1,2,1,3,2,1,,4,5,2,2,99999,3,3,4,5,1,5,1,6,4,5,3,1,,1,2,2,5,,2,4,5,3,4,17,0,4,4,5,3,3,3,2,2,1,1,2,2,4,1,4,2,1,1,2,2,1,1,3,jason segel of Rob geus,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,30,1,6,,4,1,2,1,2,,2,,99999,99999,99999,99999,99999,99999,11-11-2014 21:08,,0,0,https://www.facebook.com/,1,0,0,V9999
67,JUMhYpZsXASTqk5AfbnRkJF9uf,,,,,,,,,,,1,3,2,2,2,1,1,22,2,1,5211,1,5,1,1,1,,1,4,0,0,3,5,4,2,3,1,1,,5,5,1,2,99999,5,3,4,5,1,5,1,9,3,5,5,5,maakt niet uit waar,1,2,2,1,,1,3,4,1,3,99999,1,5,4,4,1,1,2,1,2,2,1,1,5,5,1,5,2,2,2,2,2,0,0,4,-,1,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,,99999,1,3,9,,1,1,2,2,2,,1,,99999,99999,99999,99999,99999,99999,11-11-2014 21:20,,0,0,https://www.facebook.com/l.php?u=https%3A%2F%2Fdynamic-concepts.socratos.net%2Fdirect%2Fromeo%26julia&h=ZAQFq9bnT,1,0,0,V9999
